No,Suburb
1,Ascot-Vale
2,Braybrook
3,Craigieburn
4,Croydon
5,Fawkner
6,Footscray
7,Glenroy
8,Malvern-East
9,Malvern
10,Melbourne-Airport
11,Mentone
12,Moorabbin
13,Mordialloc
14,Murrumbeena
15,Noble-Park
16,North-Melbourne
17,Northcote
18,Parkville
19,Pascoe-Vale-South
20,Port-Melbourne
21,Prahran
22,Somerville
23,Sorrento
24,South-Melbourne
25,South-Yarra
26,Springvale
27,St-Andrews-Beach
28,St-Kilda-East
29,St-Kilda
30,St-Kilda-West
31,Toorak
32,Tyabb
33,Waterways
34,Windsor